Sample	Replicate	microbe	Time	Concentration	headspace	pressure	condition	gas	id
8	MH2_2bar	MH2_2bar_3	M. smithii	233.75	35.3622959356991	H2	2bar	H2-2bar	H2	MH2_2barH2
9	MH2_2bar	MH2_2bar_2	M. smithii	233.75	40.485890055258	H2	2bar	H2-2bar	H2	MH2_2barH2
10	MH2_2bar	MH2_2bar_1	M. smithii	233.75	31.819348818153	H2	2bar	H2-2bar	H2	MH2_2barH2
11	MH2	MH2_2	M. smithii	233.75	25.8650777928143	H2	atm	H2-atm	H2	MH2H2
12	MH2	MH2_1	M. smithii	233.75	27.9446208827871	H2	atm	H2-atm	H2	MH2H2
13	C	C3	C. minuta	233.75	16.733589354405	N2	atm	N2-atm	H2	CH2
14	C	C1	C. minuta	233.75	13.3131064387464	N2	atm	N2-atm	H2	CH2
15	MC	MC2	M. smithii/C. minuta	233.75	0.0252398410194596	N2	atm	N2-atm	H2	MCH2
16	MH2_2bar	MH2_2bar_3	M. smithii	170.75	53.607612530561	H2	2bar	H2-2bar	H2	MH2_2barH2
17	MH2_2bar	MH2_2bar_2	M. smithii	170.75	53.9635911730028	H2	2bar	H2-2bar	H2	MH2_2barH2
18	C	C3	C. minuta	170.75	14.3928856688251	N2	atm	N2-atm	H2	CH2
19	C	C2	C. minuta	170.75	15.6738606282943	N2	atm	N2-atm	H2	CH2
20	C	C1	C. minuta	170.75	15.6242527292377	N2	atm	N2-atm	H2	CH2
21	MC	MC3	M. smithii/C. minuta	170.75	7.79145811034344	N2	atm	N2-atm	H2	MCH2
22	MH2_2bar	MH2_2bar_3	M. smithii	138	54.4243572102114	H2	2bar	H2-2bar	H2	MH2_2barH2
23	MH2_2bar	MH2_2bar_1	M. smithii	138	50.8507319388282	H2	2bar	H2-2bar	H2	MH2_2barH2
24	MH2	MH2_3	M. smithii	138	31.8336884378037	H2	atm	H2-atm	H2	MH2H2
25	MH2	MH2_1	M. smithii	138	25.7978536262256	H2	atm	H2-atm	H2	MH2H2
26	C	C3	C. minuta	138	13.1354841660134	N2	atm	N2-atm	H2	CH2
27	C	C2	C. minuta	138	11.842362760558	N2	atm	N2-atm	H2	CH2
28	C	C1	C. minuta	138	11.5435392509776	N2	atm	N2-atm	H2	CH2
29	MC	MC2	M. smithii/C. minuta	138	7.09777378702997	N2	atm	N2-atm	H2	MCH2
30	MC	MC1	M. smithii/C. minuta	138	7.97671150999032	N2	atm	N2-atm	H2	MCH2
33	MH2_2bar	MH2_2bar_3	M. smithii	93.5	55.7280100792646	H2	2bar	H2-2bar	H2	MH2_2barH2
34	MH2_2bar	MH2_2bar_2	M. smithii	93.5	72.2110019730979	H2	2bar	H2-2bar	H2	MH2_2barH2
35	MH2_2bar	MH2_2bar_1	M. smithii	93.5	68.2812863019713	H2	2bar	H2-2bar	H2	MH2_2barH2
36	MH2	MH2_3	M. smithii	93.5	31.8455346338101	H2	atm	H2-atm	H2	MH2H2
37	MH2	MH2_2	M. smithii	93.5	32.3213552341547	H2	atm	H2-atm	H2	MH2H2
38	MH2	MH2_1	M. smithii	93.5	18.0114742943525	H2	atm	H2-atm	H2	MH2H2
39	C	C3	C. minuta	93.5	12.521165669324	N2	atm	N2-atm	H2	CH2
40	C	C2	C. minuta	93.5	10.5963906982346	N2	atm	N2-atm	H2	CH2
41	C	C1	C. minuta	93.5	10.8062447806451	N2	atm	N2-atm	H2	CH2
42	MC	MC3	M. smithii/C. minuta	93.5	8.10337996768765	N2	atm	N2-atm	H2	MCH2
43	MC	MC2	M. smithii/C. minuta	93.5	6.52696702976894	N2	atm	N2-atm	H2	MCH2
44	MC	MC1	M. smithii/C. minuta	93.5	8.15594905965195	N2	atm	N2-atm	H2	MCH2
47	MH2_2bar	MH2_2bar_3	M. smithii	69.25	78.8005107160227	H2	2bar	H2-2bar	H2	MH2_2barH2
48	MC	MC2	M. smithii/C. minuta	170.75	6.46463833462536	N2	atm	N2-atm	H2	MCH2
50	MH2_2bar	MH2_2bar_2	M. smithii	69.25	78.2470775573825	H2	2bar	H2-2bar	H2	MH2_2barH2
51	MH2_2bar	MH2_2bar_1	M. smithii	69.25	82.5322952113941	H2	2bar	H2-2bar	H2	MH2_2barH2
52	MH2	MH2_3	M. smithii	69.25	34.8239182669046	H2	atm	H2-atm	H2	MH2H2
53	MH2	MH2_2	M. smithii	69.25	36.778401032721	H2	atm	H2-atm	H2	MH2H2
54	MH2	MH2_1	M. smithii	69.25	42.0278406592457	H2	atm	H2-atm	H2	MH2H2
55	C	C3	C. minuta	69.25	7.27048655844568	N2	atm	N2-atm	H2	CH2
56	C	C2	C. minuta	69.25	7.97171290576481	N2	atm	N2-atm	H2	CH2
57	C	C1	C. minuta	69.25	7.85250349970869	N2	atm	N2-atm	H2	CH2
