Sample	Replicate	microbe	Time	Concentration	headspace	pressure	condition	gas	id
108	C	C3	C. minuta	139	21.0529040924654	N2	2bar	N2-2bar	H2	CH2
109	B	B1	B. thetaiotaomicron	13.5	0.0321866710942244	N2	2bar	N2-2bar	H2	BH2
110	C	C3	C. minuta	13.5	0.841072969857139	N2	2bar	N2-2bar	H2	CH2
111	C	C2	C. minuta	13.5	0.980563339019417	N2	2bar	N2-2bar	H2	CH2
112	C	C1	C. minuta	13.5	0.651516490655374	N2	2bar	N2-2bar	H2	CH2
113	MN2	MN2_2	MN2	13.5	0.0320288932947429	N2	2bar	N2-2bar	H2	MN2H2
114	MN2	MN2_1	MN2	13.5	0.0525995958660247	N2	2bar	N2-2bar	H2	MN2H2
115	MC	MC3	M. smithii/C. minuta	13.5	0.0836011575465809	N2	2bar	N2-2bar	H2	MCH2
116	MC	MC2	M. smithii/C. minuta	13.5	0.0849681150472794	N2	2bar	N2-2bar	H2	MCH2
117	MC	MC1	M. smithii/C. minuta	13.5	0.137380990060746	N2	2bar	N2-2bar	H2	MCH2
118	MB	MB2	M. smithii/B. thetaiotaomicron	13.5	0.0933645358405232	N2	2bar	N2-2bar	H2	MBH2
119	MB	MB1	M. smithii/B. thetaiotaomicron	13.5	0.246215558416904	N2	2bar	N2-2bar	H2	MBH2
120	MH2	MH2_3	M. smithii	13.5	118.101260669632	H2	2bar	H2-2bar	H2	MH2H2
121	MH2	MH2_2	M. smithii	13.5	127.723347109513	H2	2bar	H2-2bar	H2	MH2H2
122	MH2	MH2_1	M. smithii	13.5	74.6784931202241	H2	2bar	H2-2bar	H2	MH2H2
145	MB	MB2	M. smithii/B. thetaiotaomicron	37.25	0.0941264672626603	N2	2bar	N2-2bar	H2	MBH2
148	MN2	MN2_2	MN2	86.75	0.0587689272461991	N2	2bar	N2-2bar	H2	MN2H2
166	B	B3	B. thetaiotaomicron	139	0	N2	2bar	N2-2bar	CH4	BCH4
167	MN2	MN2_1	MN2	37.25	0.0559628048157004	N2	2bar	N2-2bar	H2	MN2H2
168	B	B2	B. thetaiotaomicron	139	0	N2	2bar	N2-2bar	CH4	BCH4
169	C	C3	C. minuta	139	0	N2	2bar	N2-2bar	CH4	CCH4
170	MN2	MN2_3	MN2	139	0.248612953940093	N2	2bar	N2-2bar	CH4	MN2CH4
171	MN2	MN2_2	MN2	139	0	N2	2bar	N2-2bar	CH4	MN2CH4
172	C	C3	C. minuta	86.75	13.6092693024478	N2	2bar	N2-2bar	H2	CH2
173	MN2	MN2_1	MN2	139	1.41960255816346	N2	2bar	N2-2bar	CH4	MN2CH4
174	MC	MC3	M. smithii/C. minuta	139	2.46965353676339	N2	2bar	N2-2bar	CH4	MCCH4
175	MC	MC2	M. smithii/C. minuta	139	2.91439917684059	N2	2bar	N2-2bar	CH4	MCCH4
176	MN2	MN2_3	MN2	13.5	0.11889219123838	N2	2bar	N2-2bar	H2	MN2H2
177	MC	MC1	M. smithii/C. minuta	139	2.53562927264449	N2	2bar	N2-2bar	CH4	MCCH4
178	MB	MB3	M. smithii/B. thetaiotaomicron	139	1.68217927718122	N2	2bar	N2-2bar	CH4	MBCH4
179	MB	MB2	M. smithii/B. thetaiotaomicron	139	1.52182526847511	N2	2bar	N2-2bar	CH4	MBCH4
180	MB	MB1	M. smithii/B. thetaiotaomicron	139	1.93408511792847	N2	2bar	N2-2bar	CH4	MBCH4
181	MH2	MH2_2	M. smithii	139	4.65939896945679	H2	2bar	H2-2bar	CH4	MH2CH4
182	MH2	MH2_1	M. smithii	139	4.05618477138958	H2	2bar	H2-2bar	CH4	MH2CH4
185	B	B3	B. thetaiotaomicron	86.75	0	N2	2bar	N2-2bar	CH4	BCH4
186	B	B2	B. thetaiotaomicron	86.75	0	N2	2bar	N2-2bar	CH4	BCH4
187	B	B1	B. thetaiotaomicron	86.75	0	N2	2bar	N2-2bar	CH4	BCH4
188	C	C3	C. minuta	86.75	0	N2	2bar	N2-2bar	CH4	CCH4
189	C	C2	C. minuta	86.75	0	N2	2bar	N2-2bar	CH4	CCH4
190	MB	MB3	M. smithii/B. thetaiotaomicron	86.75	0.11033899535865	N2	2bar	N2-2bar	H2	MBH2
192	C	C1	C. minuta	86.75	0	N2	2bar	N2-2bar	CH4	CCH4
193	MN2	MN2_3	MN2	86.75	0	N2	2bar	N2-2bar	CH4	MN2CH4
194	MN2	MN2_2	MN2	86.75	0	N2	2bar	N2-2bar	CH4	MN2CH4
195	MC	MC3	M. smithii/C. minuta	86.75	4.11508723277788	N2	2bar	N2-2bar	CH4	MCCH4
196	MC	MC2	M. smithii/C. minuta	86.75	2.77838943957828	N2	2bar	N2-2bar	CH4	MCCH4
199	MB	MB3	M. smithii/B. thetaiotaomicron	86.75	1.34755006714583	N2	2bar	N2-2bar	CH4	MBCH4
200	MB	MB2	M. smithii/B. thetaiotaomicron	86.75	1.29970441258301	N2	2bar	N2-2bar	CH4	MBCH4
201	MB	MB1	M. smithii/B. thetaiotaomicron	86.75	1.06577016330982	N2	2bar	N2-2bar	CH4	MBCH4
