"Sample"	"Replicate"	"microbe"	"Time"	"Concentration"	"headspace"	"pressure"	"condition"	"gas"	"id"
"54"	"Ct"	"Ct1"	"C. timonensis"	91.5	0.241157651407903	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"55"	"CmaM"	"CmaM3"	"M. smithii /
C. massiliensis"	91.5	0.0321739182899419	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"56"	"CmaM"	"CmaM1"	"M. smithii /
C. massiliensis"	91.5	0.0297031811979384	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"57"	"CtM"	"CtM3"	"M. smithii /
C. timonensis"	91.5	0.0507761973560632	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"58"	"CtM"	"CtM2"	"M. smithii /
C. timonensis"	91.5	0.0510304091509584	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"59"	"CtM"	"CtM1"	"M. smithii /
C. timonensis"	91.5	0.089096408306936	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"60"	"C"	"C2"	"C. minuta"	91.5	14.3345730277691	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"62"	"C"	"C2"	"C. minuta"	187.5	17.8596836846626	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"64"	"CtM"	"CtM2"	"M. smithii /
C. timonensis"	237.5	0.365745245387209	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"66"	"MH2"	"MH23"	"M. smithii"	67.5	36.8928177088331	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"67"	"MH2"	"MH22"	"M. smithii"	67.5	36.0311299428192	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"68"	"MH2"	"MH21"	"M. smithii"	67.5	33.0158036446935	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"69"	"Cma"	"Cma3"	"C. massiliensis"	67.5	5.11396721124184	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"70"	"Cma"	"Cma2"	"C. massiliensis"	67.5	5.466066648111	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"71"	"Cma"	"Cma1"	"C. massiliensis"	67.5	6.79566039286504	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"72"	"Ct"	"Ct2"	"C. timonensis"	67.5	0.176558708994261	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"73"	"Ct"	"Ct1"	"C. timonensis"	67.5	0.16362197486019	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"74"	"CmaM"	"CmaM1"	"M. smithii /
C. massiliensis"	67.5	0.0414154338334139	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"75"	"CtM"	"CtM3"	"M. smithii /
C. timonensis"	67.5	0.0428626203501498	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"76"	"CtM"	"CtM1"	"M. smithii /
C. timonensis"	67.5	0.28337563618605	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"77"	"C"	"C2"	"C. minuta"	67.5	11.3841399097107	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"80"	"MH2"	"MH23"	"M. smithii"	44.5	39.2339690116959	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"81"	"MH2"	"MH22"	"M. smithii"	44.5	44.5088732033733	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"82"	"MH2"	"MH21"	"M. smithii"	44.5	45.564286371684	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"83"	"Cma"	"Cma3"	"C. massiliensis"	44.5	5.50888155170339	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"84"	"MH2"	"MH21"	"M. smithii"	187.5	22.8749173548001	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"85"	"Cma"	"Cma1"	"C. massiliensis"	44.5	5.50948123725527	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"86"	"Ct"	"Ct2"	"C. timonensis"	44.5	0.112507602414392	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"87"	"Ct"	"Ct1"	"C. timonensis"	44.5	0.108830775944884	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"88"	"CmaM"	"CmaM3"	"M. smithii /
C. massiliensis"	44.5	0.0697901718120536	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"89"	"CmaM"	"CmaM1"	"M. smithii /
C. massiliensis"	44.5	0.0958912350804462	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"90"	"CtM"	"CtM3"	"M. smithii /
C. timonensis"	44.5	0.0455440551026898	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"91"	"CtM"	"CtM2"	"M. smithii /
C. timonensis"	44.5	0.0860941789580369	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"92"	"MH2"	"MH23"	"M. smithii"	143	26.9512270428375	"H2"	"atm"	"H2-atm"	"H2"	"H2"
"93"	"CtM"	"CtM1"	"M. smithii /
C. timonensis"	44.5	1.23764405680108	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"94"	"CtM"	"CtM3"	"M. smithii /
C. timonensis"	164	0.0530255831235503	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"95"	"C"	"C3"	"C. minuta"	44.5	6.20349152304015	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"96"	"C"	"C2"	"C. minuta"	44.5	6.34197308710426	"N2"	"atm"	"N2-atm"	"H2"	"H2"
"97"	"C"	"C1"	"C. minuta"	44.5	6.30284587770039	"N2"	"atm"	"N2-atm"	"H2"	"H2"
