Sample	Replicate	microbe	Time	Concentration	headspace	pressure	condition	gas	id
16	B	B1	B. thetaiotaomicron	143	2.49812998839182	N2	2bar	N2-2bar	H2	BH2
17	C	C3	C. minuta	143	13.5135897430883	N2	2bar	N2-2bar	H2	CH2
18	C	C2	C. minuta	143	15.8596471321888	N2	2bar	N2-2bar	H2	CH2
19	C	C1	C. minuta	143	13.1904936494925	N2	2bar	N2-2bar	H2	CH2
20	MN2	MN2_3	MN2	143	0.0685806143022534	N2	2bar	N2-2bar	H2	MN2H2
21	MN2	MN2_2	MN2	143	0.0786641814772939	N2	2bar	N2-2bar	H2	MN2H2
22	MC	MC2	M. smithii/C. minuta	143	2.10521395212146	N2	2bar	N2-2bar	H2	MCH2
23	MC	MC1	M. smithii/C. minuta	143	4.77847305557362	N2	2bar	N2-2bar	H2	MCH2
24	MB	MB3	M. smithii/B. thetaiotaomicron	143	0.0777328153113884	N2	2bar	N2-2bar	H2	MBH2
25	MH2	MH2_3	M. smithii	143	45.623546525413	H2	2bar	H2-2bar	H2	MH2H2
26	MH2	MH2_2	M. smithii	143	36.0912595448695	H2	2bar	H2-2bar	H2	MH2H2
27	MH2	MH2_1	M. smithii	143	39.0078930378979	H2	2bar	H2-2bar	H2	MH2H2
29	B	B3	B. thetaiotaomicron	119	2.33575014689377	N2	2bar	N2-2bar	H2	BH2
30	B	B2	B. thetaiotaomicron	119	2.24884665527984	N2	2bar	N2-2bar	H2	BH2
31	B	B1	B. thetaiotaomicron	119	2.27193213396764	N2	2bar	N2-2bar	H2	BH2
32	C	C3	C. minuta	119	15.5808795478423	N2	2bar	N2-2bar	H2	CH2
33	C	C2	C. minuta	119	12.1928382223259	N2	2bar	N2-2bar	H2	CH2
34	C	C1	C. minuta	119	16.4838844107646	N2	2bar	N2-2bar	H2	CH2
35	MN2	MN2_3	MN2	119	0.0825772039049475	N2	2bar	N2-2bar	H2	MN2H2
36	MN2	MN2_1	MN2	119	0.133734498663006	N2	2bar	N2-2bar	H2	MN2H2
37	MC	MC3	M. smithii/C. minuta	119	3.97559859192538	N2	2bar	N2-2bar	H2	MCH2
39	MC	MC2	M. smithii/C. minuta	119	4.29392799884915	N2	2bar	N2-2bar	H2	MCH2
40	MC	MC1	M. smithii/C. minuta	119	6.73103565815127	N2	2bar	N2-2bar	H2	MCH2
41	MB	MB3	M. smithii/B. thetaiotaomicron	119	0.0883996245320126	N2	2bar	N2-2bar	H2	MBH2
42	MB	MB2	M. smithii/B. thetaiotaomicron	119	0.085099111941469	N2	2bar	N2-2bar	H2	MBH2
43	MH2	MH2_2	M. smithii	119	81.3352048466711	H2	2bar	H2-2bar	H2	MH2H2
44	MH2	MH2_1	M. smithii	119	78.7084449470065	H2	2bar	H2-2bar	H2	MH2H2
52	B	B2	B. thetaiotaomicron	95	1.27474599624428	N2	2bar	N2-2bar	H2	BH2
53	C	C3	C. minuta	95	19.4986405920584	N2	2bar	N2-2bar	H2	CH2
54	B	B1	B. thetaiotaomicron	95	2.14164818091467	N2	2bar	N2-2bar	H2	BH2
55	C	C2	C. minuta	95	13.2252053505554	N2	2bar	N2-2bar	H2	CH2
56	C	C1	C. minuta	95	14.127518421587	N2	2bar	N2-2bar	H2	CH2
57	MN2	MN2_3	MN2	95	0.0855135939319892	N2	2bar	N2-2bar	H2	MN2H2
58	MN2	MN2_2	MN2	95	0.0641590103591446	N2	2bar	N2-2bar	H2	MN2H2
59	MC	MC3	M. smithii/C. minuta	95	8.40209440461133	N2	2bar	N2-2bar	H2	MCH2
60	MC	MC2	M. smithii/C. minuta	95	4.33956888551967	N2	2bar	N2-2bar	H2	MCH2
61	MC	MC1	M. smithii/C. minuta	95	7.185207553787	N2	2bar	N2-2bar	H2	MCH2
62	MB	MB2	M. smithii/B. thetaiotaomicron	95	0.0716471945220377	N2	2bar	N2-2bar	H2	MBH2
63	MB	MB1	M. smithii/B. thetaiotaomicron	95	0.314399927215907	N2	2bar	N2-2bar	H2	MBH2
64	MN2	MN2_1	MN2	95	0.147131277154738	N2	2bar	N2-2bar	H2	MN2H2
65	MH2	MH2_3	M. smithii	95	78.1563077881841	H2	2bar	H2-2bar	H2	MH2H2
66	MH2	MH2_2	M. smithii	95	79.137086415557	H2	2bar	H2-2bar	H2	MH2H2
67	MH2	MH2_1	M. smithii	95	94.9777250798222	H2	2bar	H2-2bar	H2	MH2H2
73	B	B3	B. thetaiotaomicron	75	2.39356989807631	N2	2bar	N2-2bar	H2	BH2
74	B	B2	B. thetaiotaomicron	75	2.0781455439334	N2	2bar	N2-2bar	H2	BH2
75	MN2	MN2_3	MN2	75	0.0796466764318205	N2	2bar	N2-2bar	H2	MN2H2
77	MN2	MN2_2	MN2	75	0.0469495474243976	N2	2bar	N2-2bar	H2	MN2H2
78	MN2	MN2_1	MN2	75	0.0938781265130637	N2	2bar	N2-2bar	H2	MN2H2
79	MC	MC2	M. smithii/C. minuta	75	4.63052265604043	N2	2bar	N2-2bar	H2	MCH2
80	MC	MC1	M. smithii/C. minuta	75	6.78958148419395	N2	2bar	N2-2bar	H2	MCH2
81	MB	MB3	M. smithii/B. thetaiotaomicron	75	0.081303518697821	N2	2bar	N2-2bar	H2	MBH2
83	MB	MB1	M. smithii/B. thetaiotaomicron	75	0.235715408628838	N2	2bar	N2-2bar	H2	MBH2
84	MH2	MH2_2	M. smithii	75	79.1802388112255	H2	2bar	H2-2bar	H2	MH2H2
86	MH2	MH2_1	M. smithii	75	51.5674100180611	H2	2bar	H2-2bar	H2	MH2H2
92	B	B3	B. thetaiotaomicron	51.75	1.20370920631467	N2	2bar	N2-2bar	H2	BH2
93	B	B2	B. thetaiotaomicron	51.75	1.04700323030626	N2	2bar	N2-2bar	H2	BH2
94	MB	MB1	M. smithii/B. thetaiotaomicron	119	0.424288995001671	N2	2bar	N2-2bar	H2	MBH2
95	MB	MB3	M. smithii/B. thetaiotaomicron	95	0.106214200661767	N2	2bar	N2-2bar	H2	MBH2
96	B	B1	B. thetaiotaomicron	51.75	0.948020109086135	N2	2bar	N2-2bar	H2	BH2
97	C	C3	C. minuta	51.75	10.8124522369538	N2	2bar	N2-2bar	H2	CH2
98	C	C2	C. minuta	51.75	13.0352015329625	N2	2bar	N2-2bar	H2	CH2
99	C	C1	C. minuta	51.75	12.7840947026415	N2	2bar	N2-2bar	H2	CH2
100	MN2	MN2_2	MN2	51.75	0.0356616219124223	N2	2bar	N2-2bar	H2	MN2H2
101	MN2	MN2_1	MN2	51.75	0.0715199190804986	N2	2bar	N2-2bar	H2	MN2H2
102	MC	MC3	M. smithii/C. minuta	51.75	7.35837399828029	N2	2bar	N2-2bar	H2	MCH2
103	MC	MC2	M. smithii/C. minuta	51.75	4.96270247382302	N2	2bar	N2-2bar	H2	MCH2
