Sample	Replicate	microbe	Time	Concentration	headspace	pressure	condition	gas	id
19	MH2	MH2_atm_2	M. smithii	137.5	34.4400662698621	H2	atm	H2-atm	H2	MH2H2
20	MH2	MH2_atm_1	M. smithii	137.5	30.5619018292487	H2	atm	H2-atm	H2	MH2H2
21	MC-op	MC_H2_op_3	M. smithii/C. minuta	137.5	48.4641993399196	H2	2bar	H2-2bar	H2	MC-opH2
22	MC-op	MC_H2_op_2	M. smithii/C. minuta	137.5	41.1733660542904	H2	2bar	H2-2bar	H2	MC-opH2
23	MC-op	MC_H2_op_1	M. smithii/C. minuta	137.5	59.9474414499316	H2	2bar	H2-2bar	H2	MC-opH2
24	MC	MC_N2_atm_3	M. smithii/C. minuta	137.5	1.35153841108364	N2	atm	N2-atm	H2	MCH2
25	MC	MC_N2_atm_2	M. smithii/C. minuta	137.5	0.0486638368873128	N2	atm	N2-atm	H2	MCH2
26	MC	MC_N2_atm_1	M. smithii/C. minuta	137.5	0.235213872713288	N2	atm	N2-atm	H2	MCH2
27	C	C_N2_atm_3	C. minuta	137.5	19.4151107801919	N2	atm	N2-atm	H2	CH2
28	C	C_N2_atm_2	C. minuta	137.5	15.3906753757599	N2	atm	N2-atm	H2	CH2
29	C	C_N2_atm_1	C. minuta	137.5	16.6560912349128	N2	atm	N2-atm	H2	CH2
38	MH2	MH2_atm_3	M. smithii	70	44.6336112028421	H2	atm	H2-atm	H2	MH2H2
39	MH2	MH2_atm_2	M. smithii	70	42.9780154323017	H2	atm	H2-atm	H2	MH2H2
40	MH2	MH2_atm_1	M. smithii	70	44.1808427662825	H2	atm	H2-atm	H2	MH2H2
41	MC-op	MC_H2_op_3	M. smithii/C. minuta	70	93.2806475631885	H2	2bar	H2-2bar	H2	MC-opH2
42	MC-op	MC_H2_op_1	M. smithii/C. minuta	70	94.9937901882392	H2	2bar	H2-2bar	H2	MC-opH2
43	MC	MC_N2_atm_3	M. smithii/C. minuta	70	0.130868967336737	N2	atm	N2-atm	H2	MCH2
44	MC	MC_N2_atm_2	M. smithii/C. minuta	70	0.328094481856937	N2	atm	N2-atm	H2	MCH2
45	MC	MC_N2_atm_1	M. smithii/C. minuta	70	0.587328186342313	N2	atm	N2-atm	H2	MCH2
46	C	C_N2_atm_3	C. minuta	70	11.0070875482604	N2	atm	N2-atm	H2	CH2
47	C	C_N2_atm_2	C. minuta	70	10.855416331107	N2	atm	N2-atm	H2	CH2
48	MH2	MH2_atm_3	M. smithii	41.5	54.0097897623913	H2	atm	H2-atm	H2	MH2H2
49	MH2	MH2_atm_2	M. smithii	41.5	44.7676188765173	H2	atm	H2-atm	H2	MH2H2
50	MH2	MH2_atm_3	M. smithii	137.5	34.4400662698621	H2	atm	H2-atm	H2	MH2H2
51	MH2	MH2_atm_1	M. smithii	41.5	50.4935197368779	H2	atm	H2-atm	H2	MH2H2
52	MC-op	MC_H2_op_3	M. smithii/C. minuta	41.5	98.8508594348095	H2	2bar	H2-2bar	H2	MC-opH2
53	MC-op	MC_H2_op_2	M. smithii/C. minuta	41.5	113.95985628802	H2	2bar	H2-2bar	H2	MC-opH2
54	MC-op	MC_H2_op_1	M. smithii/C. minuta	41.5	120.715625301707	H2	2bar	H2-2bar	H2	MC-opH2
55	C	C_N2_atm_3	C. minuta	41.5	8.27865843882126	N2	atm	N2-atm	H2	CH2
56	C	C_N2_atm_2	C. minuta	41.5	7.1796838600326	N2	atm	N2-atm	H2	CH2
57	MH2	MH2_atm_3	M. smithii	20	51.1686444436385	H2	atm	H2-atm	H2	MH2H2
58	MH2	MH2_atm_2	M. smithii	20	47.2689132845555	H2	atm	H2-atm	H2	MH2H2
59	MH2	MH2_atm_1	M. smithii	20	46.7552931966677	H2	atm	H2-atm	H2	MH2H2
60	MC-op	MC_H2_op_3	M. smithii/C. minuta	20	115.27280410176	H2	2bar	H2-2bar	H2	MC-opH2
61	MC-op	MC_H2_op_2	M. smithii/C. minuta	20	115.709260117449	H2	2bar	H2-2bar	H2	MC-opH2
62	MC	MC_N2_atm_3	M. smithii/C. minuta	20	0.116902436583614	N2	atm	N2-atm	H2	MCH2
63	MC	MC_N2_atm_2	M. smithii/C. minuta	20	0.0964569550073259	N2	atm	N2-atm	H2	MCH2
64	MC	MC_N2_atm_1	M. smithii/C. minuta	20	0.126317604314087	N2	atm	N2-atm	H2	MCH2
65	C	C_N2_atm_3	C. minuta	20	0.986152155677678	N2	atm	N2-atm	H2	CH2
66	C	C_N2_atm_1	C. minuta	20	0.958073777146546	N2	atm	N2-atm	H2	CH2
76	MH2	MH2_atm_3	M. smithii	0	56.6091100459892	H2	atm	H2-atm	H2	MH2H2
77	MH2	MH2_atm_2	M. smithii	0	56.6091100459892	H2	atm	H2-atm	H2	MH2H2
78	MH2	MH2_atm_1	M. smithii	0	56.6091100459892	H2	atm	H2-atm	H2	MH2H2
79	MC-op	MC_H2_op_3	M. smithii/C. minuta	0	126.27194543079	H2	2bar	H2-2bar	H2	MC-opH2
80	MC-op	MC_H2_op_2	M. smithii/C. minuta	0	126.27194543079	H2	2bar	H2-2bar	H2	MC-opH2
