Name	Replicate	Sample	Time	Concentration	Batch	SampleBatch	avg	Conc_cor
276	Butyrate	C1	C	19.5	0.18075	1	C1	0.471895833333333	-0.291145833333333
278	Butyrate	MN21	MN2	19.5	0.021625	1	MN21	0.471895833333333	-0.450270833333333
280	Butyrate	nullN21	nullN2	19.5	0	1	nullN21	0.471895833333333	-0.471895833333333
281	Butyrate	MB2	MB	19.5	0	1	MB1	0.471895833333333	-0.471895833333333
282	Acetate	MC1	MC	19.5	5.028	1	MC1	2.68939583333333	2.33860416666667
284	Butyrate	C2	C	19.5	0.181125	1	C1	0.471895833333333	-0.290770833333333
285	Butyrate	B2	B	91.5	0.186	1	B1	0.2713125	-0.0853125
286	Butyrate	nullN22	nullN2	19.5	0	1	nullN21	0.471895833333333	-0.471895833333333
287	Acetate	MB1	MB	91.5	7.65175	1	MB1	3.21335	4.4384
289	Butyrate	MC3	MC	67.5	2.30575	1	MC1	0.194541666666667	2.11120833333333
292	Acetate	MC3	MC	19.5	4.1841	1	MC1	2.68939583333333	1.49470416666667
295	Butyrate	B3	B	67.5	0.16425	1	B1	0.194541666666667	-0.0302916666666667
296	Butyrate	MB2	MB	91.5	0	1	MB1	0.2713125	-0.2713125
298	Acetate	MB3	MB	19.5	6.980125	1	MB1	2.68939583333333	4.29072916666667
299	Butyrate	MB3	MB	67.5	0	1	MB1	0.194541666666667	-0.194541666666667
300	Acetate	MB2	MB	19.5	2.934	1	MB1	2.68939583333333	0.244604166666667
302	Butyrate	MH21	MH2	19.5	0	1	MH21	0.471895833333333	-0.471895833333333
303	Acetate	nullN22	nullN2	67.5	2.6455	1	nullN21	2.91835416666667	-0.272854166666666
305	Acetate	MC2	MC	19.5	4.584375	1	MC1	2.68939583333333	1.89497916666667
306	Acetate	MC1	MC	67.5	21.76455	1	MC1	2.91835416666667	18.8461958333333
307	Acetate	MH22	MH2	91.5	2.868875	1	MH21	3.21335	-0.344475
308	Acetate	MC2	MC	91.5	21.223875	1	MC1	3.21335	18.010525
309	Acetate	MH23	MH2	19.5	2.57	1	MH21	2.68939583333333	-0.119395833333333
310	Acetate	C2	C	19.5	4.434	1	C1	2.68939583333333	1.74460416666667
311	Acetate	MH22	MH2	19.5	2.681125	1	MH21	2.68939583333333	-0.00827083333333301
312	Acetate	C3	C	67.5	18.9849	1	C1	2.91835416666667	16.0665458333333
313	Butyrate	nullN23	nullN2	67.5	0.078375	1	nullN21	0.194541666666667	-0.116166666666667
314	Acetate	nullN21	nullN2	19.5	2.783	1	nullN21	2.68939583333333	0.0936041666666667
315	Acetate	B2	B	19.5	2.77125	1	B1	2.68939583333333	0.081854166666667
317	Acetate	MH23	MH2	91.5	2.7375	1	MH21	3.21335	-0.47585
318	Acetate	MH22	MH2	67.5	2.417375	1	MH21	2.91835416666667	-0.500979166666667
319	Acetate	nullN22	nullN2	19.5	2.575625	1	nullN21	2.68939583333333	-0.113770833333333
320	Acetate	MH21	MH2	91.5	2.913625	1	MH21	3.21335	-0.299725
321	Butyrate	nullH21	nullH2	19.5	1.01525	1	nullH21	0.471895833333333	0.543354166666667
322	Acetate	MN23	MN2	91.5	2.979875	1	MN21	3.21335	-0.233475
323	Butyrate	MB3	MB	91.5	0	1	MB1	0.2713125	-0.2713125
324	Butyrate	nullH23	nullH2	19.5	0.061625	1	nullH21	0.471895833333333	-0.410270833333333
325	Acetate	MN21	MN2	19.5	2.58475	1	MN21	2.68939583333333	-0.104645833333333
326	Acetate	nullN21	nullN2	91.5	3.138	1	nullN21	3.21335	-0.0753500000000003
328	Acetate	nullH23	nullH2	91.5	3.5185	1	nullH21	3.21335	0.30515
329	Acetate	nullN22	nullN2	91.5	3.11725	1	nullN21	3.21335	-0.0961000000000003
331	Acetate	MB2	MB	67.5	5.6442	1	MB1	2.91835416666667	2.72584583333333
334	Butyrate	nullH22	nullH2	19.5	1.7545	1	nullH21	0.471895833333333	1.28260416666667
335	Acetate	B2	B	91.5	7.033375	1	B1	3.21335	3.820025
337	Acetate	C3	C	91.5	19.58525	1	C1	3.21335	16.3719
339	Acetate	C1	C	91.5	20.6985	1	C1	3.21335	17.48515
340	Butyrate	MN22	MN2	91.5	0.446	1	MN21	0.2713125	0.1746875
341	Acetate	MB3	MB	67.5	5.33685	1	MB1	2.91835416666667	2.41849583333333
342	Acetate	nullH21	nullH2	91.5	3.07965	1	nullH21	3.21335	-0.1337
346	Butyrate	B2	B	67.5	0.2079	1	B1	0.194541666666667	0.0133583333333333
348	Butyrate	C1	C	67.5	2.48775	1	C1	0.194541666666667	2.29320833333333
349	Acetate	B3	B	67.5	5.4951	1	B1	2.91835416666667	2.57674583333333
352	Butyrate	C1	C	91.5	3.0468	1	C1	0.2713125	2.7754875
354	Acetate	MN22	MN2	91.5	2.9625	1	MN21	3.21335	-0.25085
356	Acetate	C1	C	67.5	17.02125	1	C1	2.91835416666667	14.1028958333333
357	Butyrate	MN22	MN2	19.5	0	1	MN21	0.471895833333333	-0.471895833333333
359	Acetate	B3	B	19.5	2.715125	1	B1	2.68939583333333	0.0257291666666668
361	Acetate	MH23	MH2	67.5	2.535625	1	MH21	2.91835416666667	-0.382729166666667
362	Butyrate	B3	B	19.5	0	1	B1	0.471895833333333	-0.471895833333333
363	Butyrate	nullH23	nullH2	91.5	0.953	1	nullH21	0.2713125	0.6816875
364	Butyrate	C3	C	19.5	0.089875	1	C1	0.471895833333333	-0.382020833333333
367	Acetate	MC3	MC	91.5	21.71975	1	MC1	3.21335	18.5064
368	Butyrate	MH22	MH2	19.5	0	1	MH21	0.471895833333333	-0.471895833333333
373	Butyrate	B1	B	91.5	0.80865	1	B1	0.2713125	0.5373375
374	Acetate	MN22	MN2	19.5	2.719125	1	MN21	2.68939583333333	0.0297291666666668
375	Acetate	C2	C	91.5	19.136	1	C1	3.21335	15.92265
376	Butyrate	B2	B	19.5	0	1	B1	0.471895833333333	-0.471895833333333
377	Butyrate	C3	C	91.5	3.202125	1	C1	0.2713125	2.9308125
379	Acetate	MB2	MB	91.5	7.303375	1	MB1	3.21335	4.090025
380	Butyrate	MH21	MH2	91.5	0	1	MH21	0.2713125	-0.2713125
381	Acetate	MN22	MN2	67.5	2.671375	1	MN21	2.91835416666667	-0.246979166666667
382	Butyrate	nullH21	nullH2	67.5	0	1	nullH21	0.194541666666667	-0.194541666666667
384	Butyrate	nullN23	nullN2	19.5	0	1	nullN21	0.471895833333333	-0.471895833333333
385	Butyrate	MC3	MC	19.5	0.0081	1	MC1	0.471895833333333	-0.463795833333333
