Name	Replicate	Sample	Time	Concentration	Batch	SampleBatch	avg	Conc_cor
159	Acetate	MB3	MB	91.5	7.7937	1	MB1	3.21335	4.58035
162	Acetate	C3	C	19.5	4.11	1	C1	2.68939583333333	1.42060416666667
164	Acetate	MB1	MB	67.5	6.22275	1	MB1	2.91835416666667	3.30439583333333
165	Butyrate	nullH21	nullH2	91.5	0	1	nullH21	0.2713125	-0.2713125
167	Butyrate	MC2	MC	67.5	2.6841	1	MC1	0.194541666666667	2.48955833333333
169	Acetate	B1	B	91.5	8.2587	1	B1	3.21335	5.04535
172	Butyrate	MN23	MN2	67.5	0.065	1	MN21	0.194541666666667	-0.129541666666667
174	Butyrate	nullN21	nullN2	67.5	0.815125	1	nullN21	0.194541666666667	0.620583333333333
176	Acetate	MB1	MB	19.5	2.634125	1	MB1	2.68939583333333	-0.0552708333333332
178	Butyrate	B1	B	67.5	0.31125	1	B1	0.194541666666667	0.116708333333333
181	Butyrate	MH21	MH2	67.5	0.133625	1	MH21	0.194541666666667	-0.0609166666666667
182	Acetate	B3	B	91.5	6.85125	1	B1	3.21335	3.6379
185	Butyrate	nullH23	nullH2	67.5	0.05575	1	nullH21	0.194541666666667	-0.138791666666667
187	Butyrate	C3	C	67.5	2.778	1	C1	0.194541666666667	2.58345833333333
190	Butyrate	C2	C	67.5	2.5299	1	C1	0.194541666666667	2.33535833333333
192	Acetate	nullN23	nullN2	19.5	2.677375	1	nullN21	2.68939583333333	-0.0120208333333331
193	Butyrate	B1	B	19.5	0	1	B1	0.471895833333333	-0.471895833333333
194	Butyrate	MH22	MH2	91.5	0	1	MH21	0.2713125	-0.2713125
195	Butyrate	MB2	MB	67.5	0.156	1	MB1	0.194541666666667	-0.0385416666666667
196	Acetate	nullH21	nullH2	67.5	2.220875	1	nullH21	2.91835416666667	-0.697479166666667
197	Butyrate	nullH22	nullH2	67.5	0.14875	1	nullH21	0.194541666666667	-0.0457916666666667
199	Acetate	MN21	MN2	67.5	3.4965	1	MN21	2.91835416666667	0.578145833333334
204	Acetate	B1	B	67.5	5.197125	1	B1	2.91835416666667	2.27877083333333
205	Acetate	nullH23	nullH2	67.5	2.28975	1	nullH21	2.91835416666667	-0.628604166666666
209	Butyrate	MB1	MB	67.5	0.4566	1	MB1	0.194541666666667	0.262058333333333
213	Butyrate	MC1	MC	19.5	0.27045	1	MC1	0.471895833333333	-0.201445833333333
214	Acetate	nullH21	nullH2	19.5	2.542375	1	nullH21	2.68939583333333	-0.147020833333333
216	Acetate	nullN21	nullN2	67.5	5.06125	1	nullN21	2.91835416666667	2.14289583333333
221	Butyrate	nullN22	nullN2	91.5	0	1	nullN21	0.2713125	-0.2713125
222	Acetate	MC2	MC	67.5	20.8704	1	MC1	2.91835416666667	17.9520458333333
224	Acetate	MC1	MC	91.5	22.32275	1	MC1	3.21335	19.1094
225	Acetate	MH21	MH2	67.5	2.3235	1	MH21	2.91835416666667	-0.594854166666666
226	Butyrate	nullN22	nullN2	67.5	0.06925	1	nullN21	0.194541666666667	-0.125291666666667
227	Butyrate	nullN21	nullN2	91.5	0.13225	1	nullN21	0.2713125	-0.1390625
228	Acetate	MC3	MC	67.5	19.225375	1	MC1	2.91835416666667	16.3070208333333
230	Butyrate	MH23	MH2	67.5	0.04925	1	MH21	0.194541666666667	-0.145291666666667
233	Acetate	MN23	MN2	19.5	2.5265	1	MN21	2.68939583333333	-0.162895833333333
234	Butyrate	MH22	MH2	67.5	0.10475	1	MH21	0.194541666666667	-0.0897916666666667
236	Acetate	nullH22	nullH2	67.5	2.6685	1	nullH21	2.91835416666667	-0.249854166666667
241	Butyrate	MN21	MN2	67.5	0.372125	1	MN21	0.194541666666667	0.177583333333333
243	Acetate	B2	B	67.5	5.8719	1	B1	2.91835416666667	2.95354583333333
244	Acetate	nullN23	nullN2	67.5	2.62425	1	nullN21	2.91835416666667	-0.294104166666667
246	Butyrate	MC3	MC	91.5	3.11225	1	MC1	0.2713125	2.8409375
247	Butyrate	B3	B	91.5	0.003875	1	B1	0.2713125	-0.2674375
248	Acetate	B1	B	19.5	3.02295	1	B1	2.68939583333333	0.333554166666667
249	Butyrate	MC1	MC	67.5	2.65845	1	MC1	0.194541666666667	2.46390833333333
250	Acetate	MH21	MH2	19.5	2.4405	1	MH21	2.68939583333333	-0.248895833333333
252	Acetate	nullH22	nullH2	19.5	2.72025	1	nullH21	2.68939583333333	0.0308541666666668
254	Acetate	MN23	MN2	67.5	2.263875	1	MN21	2.91835416666667	-0.654479166666667
256	Butyrate	MC2	MC	91.5	3.188625	1	MC1	0.2713125	2.9173125
257	Butyrate	MN23	MN2	91.5	0.016875	1	MN21	0.2713125	-0.2544375
258	Acetate	C2	C	67.5	17.59185	1	C1	2.91835416666667	14.6734958333333
260	Butyrate	MC1	MC	91.5	3.27175	1	MC1	0.2713125	3.0004375
261	Butyrate	MB3	MB	19.5	1.267625	1	MB1	0.471895833333333	0.795729166666667
262	Butyrate	MN23	MN2	19.5	0	1	MN21	0.471895833333333	-0.471895833333333
263	Butyrate	MC2	MC	19.5	0	1	MC1	0.471895833333333	-0.471895833333333
266	Butyrate	MH23	MH2	19.5	0	1	MH21	0.471895833333333	-0.471895833333333
268	Butyrate	C2	C	91.5	3.0685	1	C1	0.2713125	2.7971875
269	Butyrate	MB1	MB	19.5	0	1	MB1	0.471895833333333	-0.471895833333333
270	Butyrate	MB1	MB	91.5	0	1	MB1	0.2713125	-0.2713125
271	Butyrate	MN22	MN2	67.5	0.124375	1	MN21	0.194541666666667	-0.0701666666666667
273	Acetate	nullH23	nullH2	19.5	2.83775	1	nullH21	2.68939583333333	0.148354166666667
274	Butyrate	MH23	MH2	91.5	0	1	MH21	0.2713125	-0.2713125
275	Acetate	C1	C	19.5	4.161875	1	C1	2.68939583333333	1.47247916666667
