"SampleBatch" "Replicate" "microbe" "Time" "Concentration" "headspace" "pressure" "condition" "gas" "id" "Batch"
"46" "MN22" "MN2_12" "M. smithii" 22.5 0.0361308518951788 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"48" "MH23" "MH2_13" "M. smithii" 183.75 44.7865981829816 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"49" "C3" "C23" "C. minuta" 183.75 13.5003498238335 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"50" "C3" "C13" "C. minuta" 183.75 14.8760603385701 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"51" "MC-atm" "MC2" "M. smithii /
C. minuta" 166.5 0.0873436205926585 "N2" "atm" "N2-atm" "H2" "MC-atmH2" "N2 - atm"
"52" "MC3" "MC33" "M. smithii /
C. minuta" 183.75 0.031875056957565 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"53" "MC3" "MC13" "M. smithii /
C. minuta" 183.75 0.0316582198354047 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"54" "B3" "B13" "B. thetaiotaomicron" 183.75 2.06088405160344 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"55" "MB3" "MB13" "M. smithii /
B. thetaiotaomicron" 183.75 0.144580054268583 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"59" "MH23" "MH2_33" "M. smithii" 157 42.2469874513089 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"61" "C3" "C13" "C. minuta" 157 14.7559901074052 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"62" "MC3" "MC33" "M. smithii /
C. minuta" 157 0.0312398517408836 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"63" "MC3" "MC23" "M. smithii /
C. minuta" 157 0.0310408717934895 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"64" "B3" "B23" "B. thetaiotaomicron" 157 1.99186377520983 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"65" "B3" "B13" "B. thetaiotaomicron" 157 1.90980398216041 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"66" "B3" "B33" "B. thetaiotaomicron" 157 1.99482024703286 "N2" "2bar" "N2-2bar" "H2" "B3H2" "N2 - 2 bar"
"67" "MB3" "MB23" "M. smithii /
B. thetaiotaomicron" 157 0.0258673931612412 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"68" "MB3" "MB13" "M. smithii /
B. thetaiotaomicron" 157 0.254377223412552 "N2" "2bar" "N2-2bar" "H2" "MB3H2" "N2 - 2 bar"
"70" "C-atm" "C3" "C. minuta" 67.5 12.7567173527784 "N2" "atm" "N2-atm" "H2" "C-atmH2" "N2 - atm"
"71" "MH23" "MH2_13" "M. smithii" 113.75 62.6586214424083 "H2" "2bar" "H2-2bar" "H2" "MH23H2" "N2 - 2 bar"
"72" "C3" "C33" "C. minuta" 113.75 11.8951503291762 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"73" "C3" "C23" "C. minuta" 113.75 8.61308002579849 "N2" "2bar" "N2-2bar" "H2" "C3H2" "N2 - 2 bar"
"74" "C-op" "C3" "C. minuta" 12.5 105.451314619933 "H2" "2bar" "H2-2bar" "H2" "C-opH2" "H2 - 2 bar"
"75" "C-op" "C2" "C. minuta" 150 58.7261511865748 "H2" "2bar" "H2-2bar" "H2" "C-opH2" "H2 - 2 bar"
"76" "MN22" "MN2_22" "M. smithii" 143 0.0786641814772939 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
"77" "MC3" "MC33" "M. smithii /
C. minuta" 113.75 0.0888441507400753 "N2" "2bar" "N2-2bar" "H2" "MC3H2" "N2 - 2 bar"
"78" "MN22" "MN2_32" "M. smithii" 51.75 0.0153503799487953 "N2" "2bar" "N2-2bar" "H2" "MN22H2" NA
